2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 INFO  - Found and added new film: Eternal Sunshine of the Spotless Mind
2021-12-08 16:40:37 INFO  - Found and added new actor: Jim Carrey
2021-12-08 16:40:37 INFO  - Found and added new actor: Kate Winslet
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:37 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:38 INFO  - Found and added new film: Amores Perros
2021-12-08 16:40:38 INFO  - Found and added new actor: Gael García Bernal
2021-12-08 16:40:38 INFO  - Found and added new actor: Goya Toledo
2021-12-08 16:40:38 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:38 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:38 INFO  - Found and added new language: Greek
2021-12-08 16:40:38 INFO  - Found and added new film: Pirates of the Caribbean: Dead Man's Chest
2021-12-08 16:40:38 INFO  - Found and added new actor: Keira Knightley
2021-12-08 16:40:38 INFO  - Found and added new film: A History of Violence
2021-12-08 16:40:38 INFO  - Found and added new actor: Viggo Mortensen
2021-12-08 16:40:38 INFO  - Found and added new actor: Ed Harris
2021-12-08 16:40:38 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:38 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:38 INFO  - Found and added new film: Twelve Monkeys
2021-12-08 16:40:38 INFO  - Found and added new actor: Madeleine Stowe
2021-12-08 16:40:38 INFO  - Found and added new actor: Brad Pitt
2021-12-08 16:40:38 INFO  - Found and added new film: Talk to Her
2021-12-08 16:40:38 INFO  - Found and added new actor: Rosario Flores
2021-12-08 16:40:38 INFO  - Found and added new actor: Javier Cámara
2021-12-08 16:40:38 INFO  - Found and added new actor: Darío Grandinetti
2021-12-08 16:40:38 INFO  - Found and added new film: 8 Mile
2021-12-08 16:40:39 INFO  - Found and added new actor: Eminem 
2021-12-08 16:40:39 INFO  - Found and added new actor: Brittany Murphy
2021-12-08 16:40:39 INFO  - Found and added new actor: Kim Basinger
2021-12-08 16:40:39 INFO  - Found and added new film: Absolute Power
2021-12-08 16:40:39 INFO  - Found and added new film: Paradise Now
2021-12-08 16:40:39 INFO  - Found and added new actor: Kais Nashif
2021-12-08 16:40:39 INFO  - Found and added new actor: Ali Suliman
2021-12-08 16:40:39 INFO  - Found and added new actor: Lubna Azabal
2021-12-08 16:40:39 INFO  - Found and added new film: Walk the Line
2021-12-08 16:40:39 INFO  - Found and added new actor: Joaquin Phoenix
2021-12-08 16:40:39 INFO  - Found and added new actor: Reese Witherspoon
2021-12-08 16:40:39 INFO  - Found and added new actor: Ginnifer Goodwin
2021-12-08 16:40:39 INFO  - Found and added new language: Irish
2021-12-08 16:40:39 INFO  - Found and added new film: Million Dollar Baby
2021-12-08 16:40:39 INFO  - Found and added new actor: Hilary Swank
2021-12-08 16:40:39 INFO  - Found and added new film: Billy Elliot
2021-12-08 16:40:39 INFO  - Found and added new actor: Jean Heywood
2021-12-08 16:40:39 WARN  - Skipped deleted movie from Moviedb
2021-12-08 16:40:40 INFO  - Found and added new film: American History X
2021-12-08 16:40:40 INFO  - Found and added new actor: Edward Norton
2021-12-08 16:40:40 INFO  - Found and added new actor: Beverly D'Angelo
2021-12-08 16:40:40 INFO  - Found and added new film: War of the Worlds
2021-12-08 16:40:40 INFO  - Found and added new actor: Dakota Fanning
2021-12-08 16:40:40 INFO  - Found and added new film: Mars Attacks!
2021-12-08 16:40:40 INFO  - Found and added new actor: Jack Nicholson
2021-12-08 16:40:40 INFO  - Found and added new actor: Pierce Brosnan
2021-12-08 16:40:40 INFO  - Found and added new film: Before Sunrise
2021-12-08 16:40:40 INFO  - Found and added new actor: Ethan Hawke
2021-12-08 16:40:40 INFO  - Found and added new actor: Andrea Eckert
2021-12-08 16:40:40 INFO  - Found and added new film: Memento
2021-12-08 16:40:40 INFO  - Found and added new actor: Guy Pearce
2021-12-08 16:40:40 INFO  - Found and added new actor: Carrie-Anne Moss
2021-12-08 16:40:40 INFO  - Found and added new actor: Joe Pantoliano
2021-12-08 16:40:40 INFO  - Found and added new film: Hero
2021-12-08 16:40:40 INFO  - Found and added new category: History
2021-12-08 16:40:40 INFO  - Found and added new actor: Jet Li
2021-12-08 16:40:40 INFO  - Found and added new actor: Tony Chiu-Wai Leung
2021-12-08 16:40:40 INFO  - Found and added new actor: Maggie Cheung
2021-12-08 16:40:40 INFO  - Found and added new film: Before Sunset
2021-12-08 16:40:41 INFO  - Found and added new actor: Vernon Dobtcheff
2021-12-08 16:40:41 INFO  - Found and added new film: Miami Vice
2021-12-08 16:40:41 INFO  - Found and added new actor: Colin Farrell
